학년	교과과정	교과영역구분	학수강좌번호	교과목명	교원명	수업캠퍼스	요일/시간	강의실	학점	이론	실습	공학설계	강의계획서	교과목해설	강의유형	강의종류	원어강의	강평결과	이수구분	강의미리보기	개설대학	개설학과/전공	비고	교과목영문명
1,2학년	전공	기초	CSE2014-01	기초프로그래밍	홍정모	서울	월5.0-6.5/13:00-15:00,수5.0-6.5/13:00-15:00	401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))	3	2	2	 0.0			이론+실습	일반강의			전공		공과대학	컴퓨터공학전공		Introduction to Programming
1,2학년	전공	기초	CSE2014-02	기초프로그래밍	홍정모	서울	월7.0-8.5/15:00-17:00,수9.0-10.5/17:00-18:50	401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))	3	2	2	 0.0			이론+실습	일반강의			전공		공과대학	컴퓨터공학전공		Introduction to Programming
1,2학년	전공	기초	CSE2014-03	기초프로그래밍	장태무	서울	월5.0-6.5/13:00-15:00,수5.0-6.5/13:00-15:00	401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-5145(신공학관(기숙사) 5145 강의실)	3	2	2	 0.0			이론+실습	일반강의			전공		공과대학	컴퓨터공학전공		Introduction to Programming
1학년	전공	기초	CSE2016-01	창의적공학설계	신연순	서울	화5.0-6.5/13:00-15:00,목5.0-6.5/13:00-15:00	401-3142(신공학관(기숙사) 3142 기초설계실습실),401-3142(신공학관(기숙사) 3142 기초설계실습실)	3	2	2	 3.0			이론+실습	일반강의			전필		공과대학	컴퓨터공학전공	컴공만 수강 가능	Creative Engineering Design
2학년	전공	기초	CSE2017-01	자료구조와실습	김준태	서울	화8.0-9.5/16:00-18:00,목2.0-3.5/10:00-12:00	401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))	3	2	2	 1.0			이론+실습	일반강의			전필		공과대학	컴퓨터공학전공		Data Structure
2학년	전공	기초	CSE2017-02	자료구조와실습	김준태	서울	화2.0-3.5/10:00-12:00,목5.0-6.5/13:00-15:00	401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))	3	2	2	 1.0			이론+실습	일반강의			전필		공과대학	컴퓨터공학전공		Data Structure
2학년	전공	기초	CSE2017-03	자료구조와실습	최은만	서울	화8.0-9.5/16:00-18:00,목2.0-3.5/10:00-12:00	401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-6144(신공학관(기숙사) 6144 강의실)	3	2	2	 1.0			이론+실습	외국어강의	영어		전필		공과대학	컴퓨터공학전공	영어강의	Data Structure
1,2학년	전공	기초	CSE2018-01	컴퓨터구성	장태무	서울	월2.0-3.5/10:00-12:00,수7.0-8.5/15:00-17:00	401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))	3	2	2	 0.0			이론+실습	일반강의			전필		공과대학	컴퓨터공학전공		Computer Organization
1,2학년	전공	기초	CSE2018-02	컴퓨터구성	장태무	서울	수2.0-3.5/10:00-12:00,금2.0-3.5/10:00-12:00	401-6144(신공학관(기숙사) 6144 강의실),401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)	3	2	2	 0.0			이론+실습	일반강의			전필		공과대학	컴퓨터공학전공		Computer Organization
1,2학년	전공	기초	CSE2018-03	컴퓨터구성	장태무	서울	월7.0-8.5/15:00-17:00,금5.0-6.5/13:00-15:00	401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))	3	2	2	 0.0			이론+실습	일반강의			전필		공과대학	컴퓨터공학전공		Computer Organization
2학년	전공	기초	CSE2019-01	객체지향언어와실습	오세만	서울	월7.0-8.5/15:00-17:00,수7.0-8.5/15:00-17:00	401-10144(신공학관(기숙사) 10144 컴퓨터공학과 세미나실2),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)	3	2	2	 1.0			이론+실습	일반강의			전공		공과대학	컴퓨터공학전공		Object-Oriented Language and Practice
2학년	전공	기초	CSE2019-02	객체지향언어와실습	오세만	서울	화7.0-8.5/15:00-17:00,목2.0-3.5/10:00-12:00	401-10144(신공학관(기숙사) 10144 컴퓨터공학과 세미나실2),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)	3	2	2	 1.0			이론+실습	일반강의			전공		공과대학	컴퓨터공학전공		Object-Oriented Language and Practice
2학년	전공	기초	CSE2019-03	객체지향언어와실습	문봉교	서울	화5.0-6.5/13:00-15:00,목7.0-8.5/15:00-17:00	401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-5145(신공학관(기숙사) 5145 강의실)	3	2	2	 1.0			이론+실습	일반강의			전공		공과대학	컴퓨터공학전공		Object-Oriented Language and Practice
1,2학년	전공	기초	CSE2022-01	심화프로그래밍	정준호	서울	월2.0-3.5/10:00-12:00,수2.0-3.5/10:00-12:00	401-5145(신공학관(기숙사) 5145 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))	3	2	2	 0.0			이론+실습	일반강의			전공		공과대학	컴퓨터공학전공		Advanced Programming
1,2학년	전공	기초	CSE2022-02	심화프로그래밍	정준호	서울	월9.0-10.5/17:00-18:50,목9.0-10.5/17:00-18:50	401-5145(신공학관(기숙사) 5145 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))	3	2	2	 0.0			이론+실습	일반강의			전공		공과대학	컴퓨터공학전공		Advanced Programming
